method,0th iter.,1th iter.,2th iter.,3th iter.,4th iter.,5th iter.,6th iter.,7th iter.,8th iter.,9th iter.,10th iter.,11th iter.,12th iter.,13th iter.,14th iter.,15th iter.,16th iter.,17th iter.,18th iter.,19th iter.,20th iter.,21th iter.,22th iter.,23th iter.,24th iter.,25th iter.,26th iter.,27th iter.,28th iter.,29th iter.,30th iter.,31th iter.,32th iter.,33th iter.,34th iter.,35th iter.,36th iter.,37th iter.,38th iter.,39th iter.,40th iter.,41th iter.,42th iter.,43th iter.,44th iter.,45th iter.,46th iter.,47th iter.,48th iter.,49th iter.,50th iter.,51th iter.,52th iter.,53th iter.,54th iter.,55th iter.,56th iter.,57th iter.,58th iter.,59th iter.,60th iter.,61th iter.,62th iter.,63th iter.,64th iter.,65th iter.,66th iter.,67th iter.,68th iter.,69th iter.,70th iter.,71th iter.,72th iter.,73th iter.,74th iter.,75th iter.,76th iter.,77th iter.,78th iter.,79th iter.,80th iter.,81th iter.,82th iter.,83th iter.,84th iter.,85th iter.,86th iter.,87th iter.,88th iter.,89th iter.,90th iter.,91th iter.,92th iter.,93th iter.,94th iter.,95th iter.,96th iter.,97th iter.,98th iter.,99th iter.
noboot,0.000,0.000,0.066,0.144,0.182,0.395,0.298,0.545,0.367,0.304,0.308,0.383,0.360,0.369,0.457,0.454,0.365,0.432,0.477,0.471,0.480,0.485,0.514,0.561,0.555,0.575,0.559,0.582,0.597,0.581,0.626,0.647,0.650,0.640,0.663,0.638,0.616,0.621,0.648,0.655,0.697,0.660,0.660,0.672,0.640,0.678,0.664,0.670,0.679,0.666,0.676,0.693,0.707,0.688,0.715,0.706,0.689,0.702,0.722,0.745,0.712,0.739,0.709,0.698,0.734,0.720,0.767,0.715,0.700,0.698,0.707,0.758,0.762,0.736,0.740,0.733,0.717,0.696,0.748,0.734,0.756,0.731,0.753,0.758,0.770,0.735,0.739,0.750,0.741,0.752,0.732,0.728,0.761,0.746,0.741,0.778,0.763,0.751,0.753,0.755
st. deviaton,0.000,0.000,0.132,0.202,0.159,0.211,0.232,0.186,0.305,0.259,0.232,0.208,0.208,0.192,0.201,0.188,0.130,0.180,0.185,0.147,0.137,0.184,0.169,0.137,0.194,0.173,0.148,0.202,0.108,0.137,0.129,0.079,0.106,0.098,0.062,0.105,0.133,0.089,0.113,0.067,0.019,0.051,0.068,0.043,0.077,0.069,0.072,0.045,0.046,0.084,0.066,0.043,0.036,0.061,0.040,0.075,0.063,0.079,0.062,0.033,0.063,0.015,0.027,0.064,0.038,0.033,0.024,0.039,0.041,0.074,0.039,0.020,0.036,0.034,0.015,0.051,0.041,0.066,0.056,0.054,0.016,0.025,0.067,0.045,0.053,0.069,0.024,0.038,0.051,0.072,0.065,0.063,0.071,0.110,0.064,0.052,0.065,0.055,0.050,0.058
noboot_warm_start,0.000,0.000,0.098,0.000,0.089,0.105,0.111,0.128,0.179,0.216,0.243,0.253,0.266,0.279,0.279,0.281,0.320,0.351,0.357,0.381,0.374,0.380,0.414,0.428,0.432,0.439,0.435,0.438,0.441,0.440,0.446,0.454,0.452,0.462,0.460,0.460,0.460,0.467,0.464,0.471,0.471,0.470,0.471,0.479,0.504,0.504,0.500,0.510,0.523,0.532,0.530,0.534,0.528,0.531,0.525,0.535,0.542,0.544,0.542,0.551,0.555,0.563,0.572,0.578,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.591,0.591,0.603,0.603,0.600,0.600,0.603,0.607,0.612,0.618,0.621,0.625,0.639,0.648,0.648,0.661,0.665,0.669,0.670,0.682,0.696,0.692,0.692,0.700,0.710,0.704,0.707
st. deviaton,0.000,0.000,0.177,0.000,0.159,0.191,0.204,0.220,0.252,0.261,0.275,0.274,0.292,0.313,0.314,0.305,0.320,0.324,0.330,0.333,0.330,0.332,0.304,0.289,0.289,0.291,0.290,0.293,0.288,0.287,0.271,0.274,0.273,0.279,0.279,0.279,0.279,0.283,0.280,0.269,0.269,0.269,0.269,0.276,0.250,0.250,0.248,0.230,0.227,0.222,0.219,0.212,0.218,0.221,0.218,0.213,0.207,0.208,0.207,0.205,0.206,0.204,0.201,0.204,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.199,0.199,0.182,0.182,0.181,0.181,0.184,0.180,0.177,0.180,0.176,0.174,0.161,0.150,0.150,0.131,0.130,0.128,0.118,0.095,0.088,0.096,0.096,0.081,0.074,0.074,0.077
noisy_reweight_default_committee,0.626,0.638,0.624,0.627,0.624,0.622,0.584,0.537,0.550,0.594,0.584,0.590,0.610,0.610,0.605,0.620,0.619,0.630,0.635,0.649,0.649,0.655,0.673,0.659,0.680,0.683,0.685,0.677,0.695,0.693,0.697,0.706,0.702,0.710,0.710,0.714,0.714,0.717,0.716,0.714,0.714,0.720,0.721,0.725,0.726,0.733,0.731,0.733,0.730,0.733,0.733,0.737,0.738,0.742,0.742,0.742,0.742,0.742,0.742,0.746,0.747,0.747,0.747,0.747,0.747,0.756,0.756,0.756,0.756,0.756,0.753,0.754,0.753,0.762,0.762,0.764,0.767,0.765,0.765,0.766,0.766,0.764,0.764,0.764,0.764,0.766,0.766,0.768,0.768,0.766,0.769,0.774,0.777,0.781,0.793,0.793,0.791,0.791,0.783,0.783
st. deviaton,0.003,0.011,0.030,0.041,0.044,0.047,0.046,0.126,0.125,0.066,0.078,0.065,0.058,0.059,0.059,0.056,0.056,0.052,0.051,0.046,0.050,0.045,0.036,0.045,0.049,0.055,0.057,0.057,0.052,0.052,0.045,0.050,0.062,0.064,0.064,0.066,0.066,0.063,0.069,0.071,0.071,0.072,0.072,0.070,0.068,0.054,0.054,0.054,0.069,0.063,0.063,0.061,0.062,0.055,0.055,0.055,0.055,0.055,0.055,0.057,0.053,0.053,0.053,0.053,0.053,0.037,0.037,0.037,0.037,0.037,0.039,0.036,0.039,0.040,0.040,0.041,0.043,0.043,0.043,0.043,0.043,0.046,0.046,0.046,0.046,0.043,0.043,0.044,0.044,0.043,0.044,0.046,0.047,0.041,0.023,0.023,0.027,0.027,0.027,0.027
unsupervised_correctness,0.881,0.882,0.882,0.882,0.882,0.882,0.883,0.883,0.883,0.883,0.883,0.884,0.884,0.884,0.884,0.884,0.885,0.885,0.885,0.886,0.886,0.886,0.886,0.887,0.887,0.887,0.887,0.887,0.888,0.888,0.888,0.889,0.889,0.889,0.889,0.890,0.890,0.890,0.890,0.890,0.891,0.891,0.891,0.892,0.892,0.892,0.893,0.893,0.893,0.893,0.894,0.894,0.894,0.894,0.894,0.895,0.895,0.895,0.896,0.896,0.896,0.897,0.897,0.897,0.898,0.898,0.898,0.898,0.899,0.899,0.899,0.900,0.900,0.900,0.900,0.901,0.901,0.901,0.902,0.902,0.902,0.903,0.903,0.903,0.903,0.903,0.904,0.904,0.904,0.904,0.905,0.905,0.905,0.906,0.906,0.906,0.906,0.906,0.907,0.907
st. deviaton,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
