method,0th iter.,1th iter.,2th iter.,3th iter.,4th iter.,5th iter.,6th iter.,7th iter.,8th iter.,9th iter.,10th iter.,11th iter.,12th iter.,13th iter.,14th iter.,15th iter.,16th iter.,17th iter.,18th iter.,19th iter.,20th iter.,21th iter.,22th iter.,23th iter.,24th iter.,25th iter.,26th iter.,27th iter.,28th iter.,29th iter.,30th iter.,31th iter.,32th iter.,33th iter.,34th iter.,35th iter.,36th iter.,37th iter.,38th iter.,39th iter.,40th iter.,41th iter.,42th iter.,43th iter.,44th iter.,45th iter.,46th iter.,47th iter.,48th iter.,49th iter.,50th iter.,51th iter.,52th iter.,53th iter.,54th iter.,55th iter.,56th iter.,57th iter.,58th iter.,59th iter.,60th iter.,61th iter.,62th iter.,63th iter.,64th iter.,65th iter.,66th iter.,67th iter.,68th iter.,69th iter.,70th iter.,71th iter.,72th iter.,73th iter.,74th iter.,75th iter.,76th iter.,77th iter.,78th iter.,79th iter.,80th iter.,81th iter.,82th iter.,83th iter.,84th iter.,85th iter.,86th iter.,87th iter.,88th iter.,89th iter.,90th iter.,91th iter.,92th iter.,93th iter.,94th iter.,95th iter.,96th iter.,97th iter.,98th iter.,99th iter.
noboot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.224,0.149,0.288,0.311,0.328,0.310,0.356,0.351,0.394,0.476,0.472,0.649,0.817,0.756,0.828,0.809,0.798,0.845,0.871,0.877,0.896,0.893,0.897,0.909,0.909,0.924,0.931,0.931,0.917,0.922,0.911,0.919,0.940,0.940,0.929,0.946,0.931,0.922,0.936,0.941,0.941,0.948,0.947,0.950,0.946,0.942,0.943,0.952,0.948,0.949,0.954,0.951,0.942,0.953,0.950,0.945,0.949,0.949,0.952,0.947,0.948,0.952,0.950,0.955,0.953,0.947,0.952,0.953,0.957,0.953,0.957,0.955,0.956,0.950,0.961,0.959,0.948,0.955,0.957,0.955,0.954,0.953,0.938,0.939,0.961,0.954,0.954,0.952,0.957,0.957,0.957,0.956,0.952
st. deviaton,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.297,0.354,0.382,0.401,0.382,0.437,0.430,0.402,0.401,0.405,0.341,0.096,0.197,0.101,0.108,0.125,0.074,0.027,0.054,0.039,0.041,0.032,0.034,0.015,0.012,0.015,0.015,0.014,0.012,0.011,0.017,0.012,0.010,0.018,0.018,0.018,0.017,0.019,0.022,0.012,0.013,0.011,0.013,0.013,0.010,0.009,0.008,0.013,0.006,0.007,0.007,0.005,0.007,0.012,0.011,0.011,0.006,0.008,0.005,0.007,0.009,0.010,0.008,0.006,0.013,0.010,0.005,0.008,0.001,0.004,0.005,0.007,0.006,0.004,0.004,0.012,0.007,0.005,0.003,0.008,0.008,0.018,0.036,0.007,0.006,0.013,0.004,0.009,0.004,0.005,0.007,0.009
noboot_warm_start,0.000,0.000,0.006,0.137,0.194,0.211,0.226,0.295,0.320,0.361,0.378,0.451,0.501,0.517,0.533,0.545,0.551,0.576,0.588,0.608,0.628,0.639,0.644,0.650,0.653,0.659,0.666,0.673,0.680,0.688,0.699,0.712,0.725,0.736,0.764,0.791,0.812,0.830,0.847,0.858,0.865,0.867,0.870,0.875,0.881,0.884,0.887,0.888,0.891,0.895,0.898,0.902,0.902,0.905,0.905,0.907,0.910,0.912,0.914,0.914,0.916,0.917,0.919,0.921,0.922,0.925,0.926,0.926,0.928,0.930,0.931,0.932,0.932,0.934,0.935,0.938,0.938,0.939,0.941,0.942,0.943,0.945,0.946,0.949,0.949,0.951,0.951,0.952,0.953,0.953,0.954,0.955,0.956,0.957,0.958,0.959,0.959,0.960,0.960,0.961
st. deviaton,0.000,0.000,0.013,0.194,0.227,0.219,0.221,0.261,0.289,0.315,0.327,0.310,0.292,0.295,0.301,0.307,0.309,0.307,0.307,0.311,0.317,0.321,0.323,0.326,0.327,0.330,0.334,0.337,0.325,0.327,0.316,0.300,0.282,0.264,0.215,0.174,0.140,0.110,0.082,0.064,0.062,0.055,0.051,0.043,0.044,0.043,0.041,0.040,0.039,0.037,0.035,0.032,0.031,0.028,0.028,0.027,0.025,0.024,0.023,0.023,0.022,0.021,0.020,0.018,0.019,0.018,0.019,0.018,0.017,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.011,0.011,0.011,0.010,0.010,0.011,0.011,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.008,0.009,0.009,0.009,0.009,0.009
noisy_reweight_default_committee,0.732,0.735,0.726,0.736,0.734,0.737,0.741,0.745,0.749,0.755,0.765,0.780,0.784,0.795,0.804,0.818,0.824,0.831,0.841,0.849,0.850,0.858,0.865,0.870,0.879,0.885,0.886,0.890,0.895,0.899,0.900,0.904,0.906,0.910,0.912,0.916,0.918,0.923,0.924,0.926,0.928,0.932,0.933,0.937,0.939,0.939,0.940,0.943,0.945,0.948,0.947,0.948,0.951,0.952,0.954,0.954,0.955,0.956,0.956,0.957,0.958,0.959,0.959,0.960,0.959,0.960,0.961,0.961,0.962,0.962,0.962,0.963,0.963,0.964,0.965,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.967,0.968,0.968,0.968,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.970,0.969
st. deviaton,0.002,0.006,0.007,0.006,0.008,0.012,0.013,0.016,0.023,0.026,0.025,0.024,0.023,0.023,0.027,0.027,0.026,0.026,0.023,0.023,0.022,0.023,0.022,0.021,0.017,0.018,0.018,0.017,0.015,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.013,0.011,0.011,0.010,0.010,0.009,0.009,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
unsupervised_correctness,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.920,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.923,0.923,0.923,0.923
st. deviaton,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
