method,0th iter.,1th iter.,2th iter.,3th iter.,4th iter.,5th iter.,6th iter.,7th iter.,8th iter.,9th iter.,10th iter.,11th iter.,12th iter.,13th iter.,14th iter.,15th iter.,16th iter.,17th iter.,18th iter.,19th iter.,20th iter.,21th iter.,22th iter.,23th iter.,24th iter.,25th iter.,26th iter.,27th iter.,28th iter.,29th iter.,30th iter.,31th iter.,32th iter.,33th iter.,34th iter.,35th iter.,36th iter.,37th iter.,38th iter.,39th iter.,40th iter.,41th iter.,42th iter.,43th iter.,44th iter.,45th iter.,46th iter.,47th iter.,48th iter.,49th iter.,50th iter.,51th iter.,52th iter.,53th iter.,54th iter.,55th iter.,56th iter.,57th iter.,58th iter.,59th iter.,60th iter.,61th iter.,62th iter.,63th iter.,64th iter.,65th iter.,66th iter.,67th iter.,68th iter.,69th iter.,70th iter.,71th iter.,72th iter.,73th iter.,74th iter.,75th iter.,76th iter.,77th iter.,78th iter.,79th iter.,80th iter.,81th iter.,82th iter.,83th iter.,84th iter.,85th iter.,86th iter.,87th iter.,88th iter.,89th iter.,90th iter.,91th iter.,92th iter.,93th iter.,94th iter.,95th iter.,96th iter.,97th iter.,98th iter.,99th iter.
noboot,0.000,0.000,0.059,0.058,0.079,0.033,0.025,0.098,0.095,0.114,0.186,0.208,0.233,0.437,0.496,0.554,0.551,0.607,0.740,0.779,0.816,0.843,0.903,0.867,0.938,0.945,0.944,0.955,0.957,0.949,0.955,0.955,0.955,0.955,0.959,0.962,0.962,0.962,0.947,0.955,0.957,0.964,0.960,0.959,0.959,0.962,0.962,0.957,0.957,0.959,0.955,0.955,0.957,0.959,0.955,0.955,0.957,0.957,0.957,0.966,0.957,0.957,0.959,0.955,0.953,0.955,0.952,0.957,0.955,0.957,0.959,0.955,0.957,0.959,0.957,0.955,0.955,0.957,0.959,0.957,0.959,0.957,0.957,0.957,0.955,0.957,0.957,0.962,0.955,0.955,0.955,0.959,0.957,0.952,0.955,0.955,0.955,0.957,0.957,0.957
st. deviaton,0.000,0.000,0.118,0.116,0.157,0.065,0.050,0.197,0.190,0.229,0.372,0.347,0.353,0.380,0.425,0.453,0.450,0.386,0.311,0.327,0.242,0.211,0.071,0.112,0.035,0.019,0.015,0.000,0.005,0.012,0.000,0.007,0.000,0.012,0.006,0.006,0.006,0.006,0.020,0.007,0.005,0.005,0.009,0.006,0.006,0.006,0.006,0.005,0.005,0.006,0.000,0.000,0.005,0.006,0.007,0.007,0.005,0.008,0.008,0.007,0.008,0.008,0.006,0.007,0.008,0.000,0.004,0.005,0.000,0.005,0.006,0.007,0.005,0.006,0.005,0.007,0.000,0.005,0.006,0.005,0.006,0.005,0.005,0.008,0.007,0.005,0.005,0.006,0.007,0.000,0.000,0.006,0.008,0.004,0.007,0.007,0.007,0.005,0.008,0.008
noboot_warm_start,0.000,0.000,0.056,0.147,0.151,0.162,0.208,0.214,0.251,0.253,0.273,0.277,0.286,0.323,0.355,0.378,0.392,0.448,0.429,0.471,0.464,0.475,0.507,0.550,0.565,0.588,0.600,0.608,0.666,0.700,0.757,0.772,0.789,0.828,0.881,0.914,0.919,0.917,0.930,0.930,0.930,0.933,0.930,0.933,0.938,0.940,0.936,0.939,0.941,0.943,0.946,0.946,0.946,0.948,0.950,0.948,0.946,0.946,0.946,0.948,0.948,0.948,0.948,0.948,0.948,0.950,0.948,0.950,0.950,0.948,0.950,0.948,0.950,0.950,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.948,0.946,0.946,0.944,0.946,0.946,0.946,0.946
st. deviaton,0.000,0.000,0.112,0.189,0.192,0.200,0.258,0.263,0.308,0.309,0.334,0.340,0.352,0.349,0.368,0.364,0.380,0.377,0.385,0.380,0.386,0.384,0.367,0.326,0.316,0.317,0.303,0.302,0.252,0.233,0.187,0.177,0.144,0.104,0.069,0.046,0.041,0.043,0.026,0.026,0.026,0.024,0.026,0.024,0.022,0.018,0.022,0.017,0.018,0.018,0.013,0.013,0.013,0.013,0.009,0.009,0.009,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.006,0.005,0.005,0.006,0.005,0.006,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.004,0.004,0.007,0.004,0.004,0.004,0.004
noisy_warm_default_committee,0.756,0.760,0.767,0.768,0.776,0.766,0.770,0.788,0.793,0.818,0.842,0.854,0.892,0.913,0.928,0.921,0.935,0.937,0.943,0.945,0.945,0.944,0.946,0.956,0.954,0.956,0.958,0.958,0.956,0.960,0.958,0.956,0.958,0.960,0.962,0.960,0.960,0.960,0.962,0.962,0.962,0.962,0.960,0.960,0.957,0.957,0.955,0.957,0.957,0.960,0.957,0.957,0.957,0.955,0.955,0.957,0.955,0.957,0.957,0.957,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.957,0.957,0.957,0.957,0.957,0.959,0.957,0.957,0.957,0.959,0.959,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957,0.957
st. deviaton,0.008,0.031,0.024,0.023,0.023,0.031,0.031,0.042,0.035,0.042,0.048,0.067,0.055,0.047,0.041,0.038,0.038,0.039,0.034,0.030,0.033,0.028,0.025,0.020,0.019,0.020,0.016,0.016,0.015,0.008,0.008,0.011,0.008,0.008,0.005,0.009,0.009,0.009,0.006,0.006,0.006,0.006,0.009,0.009,0.013,0.013,0.012,0.013,0.013,0.009,0.013,0.013,0.013,0.012,0.007,0.008,0.012,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
