method,0th iter.,1th iter.,2th iter.,3th iter.,4th iter.,5th iter.,6th iter.,7th iter.,8th iter.,9th iter.,10th iter.,11th iter.,12th iter.,13th iter.,14th iter.,15th iter.,16th iter.,17th iter.,18th iter.,19th iter.,20th iter.,21th iter.,22th iter.,23th iter.,24th iter.,25th iter.,26th iter.,27th iter.,28th iter.,29th iter.,30th iter.,31th iter.,32th iter.,33th iter.,34th iter.,35th iter.,36th iter.,37th iter.,38th iter.,39th iter.,40th iter.,41th iter.,42th iter.,43th iter.,44th iter.,45th iter.,46th iter.,47th iter.,48th iter.,49th iter.,50th iter.,51th iter.,52th iter.,53th iter.,54th iter.,55th iter.,56th iter.,57th iter.,58th iter.,59th iter.,60th iter.,61th iter.,62th iter.,63th iter.,64th iter.,65th iter.,66th iter.,67th iter.,68th iter.,69th iter.,70th iter.,71th iter.,72th iter.,73th iter.,74th iter.,75th iter.,76th iter.,77th iter.,78th iter.,79th iter.,80th iter.,81th iter.,82th iter.,83th iter.,84th iter.,85th iter.,86th iter.,87th iter.,88th iter.,89th iter.,90th iter.,91th iter.,92th iter.,93th iter.,94th iter.,95th iter.,96th iter.,97th iter.,98th iter.,99th iter.
noboot,0.000,0.000,0.000,0.053,0.117,0.215,0.206,0.199,0.204,0.198,0.263,0.283,0.461,0.502,0.468,0.513,0.526,0.496,0.598,0.616,0.637,0.625,0.572,0.629,0.585,0.656,0.670,0.649,0.680,0.676,0.712,0.710,0.695,0.674,0.714,0.715,0.700,0.707,0.702,0.706,0.702,0.702,0.706,0.673,0.658,0.693,0.679,0.691,0.685,0.692,0.701,0.682,0.685,0.708,0.689,0.697,0.695,0.701,0.696,0.712,0.719,0.695,0.710,0.683,0.717,0.703,0.695,0.724,0.708,0.696,0.694,0.695,0.706,0.708,0.687,0.709,0.720,0.697,0.705,0.722,0.700,0.703,0.697,0.701,0.700,0.717,0.719,0.683,0.715,0.720,0.712,0.723,0.715,0.737,0.721,0.699,0.723,0.723,0.719,0.723
st. deviaton,0.000,0.000,0.000,0.105,0.234,0.276,0.265,0.247,0.273,0.254,0.324,0.296,0.279,0.257,0.237,0.258,0.269,0.252,0.146,0.058,0.080,0.102,0.108,0.065,0.147,0.046,0.050,0.050,0.061,0.054,0.031,0.027,0.039,0.051,0.041,0.025,0.013,0.038,0.032,0.039,0.029,0.031,0.026,0.038,0.049,0.026,0.025,0.034,0.012,0.021,0.027,0.026,0.022,0.017,0.027,0.030,0.028,0.023,0.030,0.026,0.034,0.030,0.039,0.026,0.028,0.023,0.023,0.026,0.016,0.023,0.035,0.027,0.010,0.022,0.028,0.014,0.017,0.027,0.025,0.029,0.006,0.016,0.040,0.034,0.043,0.021,0.019,0.038,0.028,0.038,0.021,0.028,0.029,0.020,0.027,0.018,0.020,0.039,0.041,0.031
noboot_warm_start,0.000,0.000,0.066,0.103,0.135,0.202,0.425,0.460,0.485,0.506,0.516,0.542,0.558,0.556,0.563,0.572,0.581,0.593,0.592,0.593,0.602,0.609,0.617,0.611,0.607,0.607,0.610,0.616,0.616,0.622,0.616,0.615,0.623,0.620,0.623,0.631,0.631,0.629,0.636,0.637,0.637,0.639,0.641,0.646,0.649,0.651,0.654,0.653,0.653,0.657,0.659,0.659,0.658,0.661,0.662,0.662,0.664,0.665,0.669,0.668,0.671,0.672,0.675,0.681,0.682,0.683,0.684,0.685,0.684,0.686,0.688,0.692,0.693,0.693,0.694,0.697,0.697,0.697,0.698,0.701,0.702,0.704,0.705,0.707,0.705,0.708,0.709,0.710,0.710,0.709,0.710,0.712,0.714,0.716,0.714,0.715,0.716,0.719,0.719,0.722
st. deviaton,0.000,0.000,0.133,0.207,0.221,0.257,0.235,0.147,0.138,0.121,0.112,0.100,0.086,0.090,0.109,0.106,0.101,0.104,0.099,0.090,0.086,0.081,0.081,0.081,0.088,0.084,0.077,0.076,0.079,0.078,0.080,0.079,0.087,0.079,0.079,0.076,0.075,0.071,0.068,0.071,0.073,0.072,0.070,0.070,0.063,0.062,0.060,0.062,0.062,0.060,0.058,0.056,0.055,0.054,0.053,0.052,0.054,0.050,0.047,0.047,0.046,0.048,0.048,0.046,0.041,0.041,0.045,0.044,0.042,0.046,0.045,0.048,0.047,0.046,0.044,0.042,0.044,0.045,0.043,0.043,0.042,0.042,0.041,0.041,0.042,0.042,0.042,0.042,0.045,0.046,0.043,0.043,0.042,0.044,0.041,0.040,0.040,0.039,0.040,0.039
noisy_reweight_default_committee,0.678,0.680,0.665,0.666,0.657,0.666,0.661,0.664,0.655,0.644,0.645,0.645,0.646,0.660,0.666,0.676,0.684,0.683,0.684,0.684,0.685,0.689,0.686,0.690,0.688,0.689,0.689,0.692,0.697,0.698,0.700,0.703,0.702,0.706,0.709,0.709,0.709,0.708,0.711,0.717,0.713,0.717,0.717,0.721,0.720,0.720,0.722,0.722,0.723,0.724,0.727,0.728,0.730,0.732,0.734,0.735,0.737,0.738,0.739,0.736,0.738,0.737,0.741,0.741,0.744,0.744,0.745,0.746,0.749,0.751,0.751,0.751,0.749,0.752,0.753,0.752,0.753,0.752,0.751,0.752,0.755,0.756,0.755,0.755,0.754,0.754,0.754,0.754,0.754,0.754,0.753,0.753,0.753,0.755,0.756,0.757,0.756,0.756,0.757,0.759
st. deviaton,0.004,0.004,0.009,0.013,0.012,0.013,0.017,0.017,0.023,0.028,0.031,0.039,0.037,0.032,0.035,0.037,0.040,0.046,0.047,0.046,0.048,0.041,0.041,0.044,0.041,0.043,0.045,0.047,0.044,0.040,0.043,0.049,0.049,0.046,0.046,0.048,0.044,0.039,0.042,0.042,0.042,0.038,0.037,0.039,0.033,0.031,0.033,0.033,0.031,0.032,0.033,0.036,0.036,0.037,0.036,0.035,0.036,0.035,0.035,0.034,0.033,0.034,0.035,0.034,0.034,0.036,0.036,0.037,0.037,0.033,0.033,0.031,0.034,0.031,0.031,0.033,0.032,0.029,0.031,0.031,0.030,0.031,0.031,0.031,0.031,0.032,0.033,0.031,0.034,0.034,0.032,0.032,0.033,0.032,0.033,0.031,0.030,0.030,0.031,0.029
unsupervised_correctness,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.900,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.901,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.905,0.905,0.905
st. deviaton,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
